pocit;feeling;
pověsit;to hang;
snížit;to cut;
číslo;number;
v pořádku;fine;
město;city;
překvapit;to surprise;
ke zvýšení;to raise;
vyplnit;to fill;
několik;several;
jehož;whose;
chudý;poor;
určitý;certain;
plán;plan;
pravděpodobně;probably;
před;ago;
horní;top;
způsobit;to cause;
vstoupit;to enter;
připraven;ready;
modrý;blue;
v rámci;within;
oni sami;themselves;
vpřed;forward;
sestra;sister;
utratit;to spend;
Stát;state;
nicméně;however;
bojovat;to fight;
silný;strong;
políbit;to kiss;
během;during;
potěšit;to please;
mimo;outside;
noha;leg;
milý;dear;
šťastný;happy;
sen;dream;
Poznámka;note;
špatně;wrong;
uvědomit si;to realize;
zájem;interest;
krev;blood;
rychle;quickly;
vysvětlit;to explain;
vítr;wind;
člověk;human;
Pán;Lord;
jezdit;to ride;
pokrýt;to cover;
opřít;to lean;
dovolit;to allow;
deset;ten;
pochybovat;doubt;
dvacet;twenty;
Vážený pane;sir;
Krásná;beautiful;
válka;war;
pěkný;pretty;
pomalu;slowly;
možný;possible;
problémy;trouble;
navštívit;to visit;
šance;chance;
tlačit;to push;
volný, uvolnit;free;
dech;breath;
kus;piece;
slunce;sun;
pravda;truth;
přijet;to arrive;
zvážit;to consider;
zda;whether;
hrát;to act;
sám;itself;
ani;nor;
kdokoliv;anyone;
podepsat;sign;
obchod;deal;
přejít;to cross;
sklenka;glass;
práce;job;
dokončit;to finish;
šeptat;to whisper;
studovat;to study;
formulář;form;
snadný;easy;
stáří;age;
obrázek;picture;
šest;six;
Konečně;finally;
koupit;to buy;
umlčet;silence;
Pes;dog;
položit;to lay;
pohled;sight;
ucho;ear;
nabídnout;to offer;
loď;ship;
vy sám;yourself;
vůči;towards;
moře;sea;
prsten;ring;
slíbit;to promise;
zvednout;to lift;
letět;to fly;
tisíc;thousand;
hádat;to guess;
roh;corner;
se obávat;to worry;
Pohled;view;
problém;problem;
vedle;beside;
telefon;phone;
Pozor;attention;
schovat;to hide;
zmeškat;to miss;
pohled;gaze;
policie;police;
zachránit;to save;
večírek;party;
Angličtina;English;
kámen;stone;
Londýn;London;
zvláštní;strange;
dítě;baby;
strach;afraid;
bolest;pain;
vlna;wave;
kuchyně;kitchen;
souhlasit;to agree;
stávku;to strike;
tlačit;to press;
zelená;green;
pár;couple;
chlap;guy;
Promiňte;sorry;
Zkusenosti;experience;
až do;till;
americký;American;
možná;maybe;
sedadlo;seat;
válet;to roll;
Vskutku;indeed;
foukat;to blow;
někdy;sometimes;
těžký;heavy;
duše;soul;
Důležité;important;
dítě;kid;
teplý;warm;
obávat se;to concern;
těžit;mine;
pozice;position;
horký;hot;
doktor;doctor;
mimo;beyond;
křičet;to shout;
předmět;subject;
večeře;dinner;
zkontrolovat;to check;
duch;spirit;
odpoledne;afternoon;
důstojník;officer;
klid;quiet;
touha;desire;
až na;except;
Země;earth;
představit si;to imagine;
pozastavit;to pause;
přistupovat;to approach;
krk;neck;
míle;mile;
způsob;manner;
Připojit se;to join;
jídlo;food;
budova;building;
držet;to stick;
okraj;edge;
pole;field;
Příroda;nature;
řeka;river;
Skála;rock;
pistole;gun;
zmínit;to mention;
rovný;straight;
široký;wide;
společnost;company;
nebe;sky;
střílet;to shoot;
dřevo;wood;
udeřit;to hit;
tančit;to dance;
dav;crowd;
hořet;to burn;
chlapík;fellow;
výraz;expression;
řízení;control;
kostel;church;
povzdechnout;to sigh;
každý;everyone;
vybrat;to choose;
sdílet;to share;
navrhnout;to suggest;
král;king;
rodič;parent;
pěkný;nice;
uklouznout;to slip;
postavit;to build;
na;onto;
téměř;nearly;
Paměť;memory;
oblečení;clothes;
zpráva;report;
jednoduše;simply;
přijmout;to accept;
užívat si;to enjoy;
kůže;skin;
tajemství;secret;
rozhodně;certainly;
hra;game;
konverzace;conversation;
loď;boat;
prázdný;empty;
dnes;today;
peklo;hell;
sloužit;to serve;
měkký;soft;
uniknout;to escape;
tón;tone;
nenávidět;to hate;
směr;direction;
pokus;attempt;
Ačkoli;although;
skupina;group;
tvář;cheek;
kapesní;pocket;
spravovat;to manage;
Ano;yes;
k vyhledávání;to search;
cítit;to smell;
jaro;spring;
Všeobecné;general;
střední;middle;
účet;account;
vlevo, odjet;left;
přesně tak;exactly;
služba;service;
Následující;following;
zranit;to hurt;
nabít;charge;
veřejnost;public;
usadit;to settle;
potěšení;pleasure;
místo toho;instead;
objevit;to discover;
zlato;gold;
To je jedno;whatever;
zprávy;news;
koleno;knee;
Jasný;bright;
ihned;immediately;
rád;glad;
porazit;to beat;
rychle;fast;
singl;single;
vlastně;actually;
vzdálenost;distance;
obdržet;to receive;
bod;spot;
scéna;scene;
požadovat;to demand;
přiznat si;to admit;
vlak;train;
třída;class;
zvíře;animal;
lavice;desk;
sál;hall;
hruď;chest;
mistr;master;
káva;coffee;
věřit;to trust;
stráž;guard;
tichý;silent;
účinek;effect;
stín;shadow;
zpívat;to sing;
Taška;bag;
dokázat;to prove;
francouzština;French;
vysoký;tall;
pod;beneath;
hledat;to seek;
žádný;none;
spěchat;to rush;
hora;mountain;
připravit;to prepare;
voják;soldier;
stěží;hardly;
šklebit se;to grin;
Dějiny;history;
čistý;clean;
prodat;to sell;
manželství;marriage;
akce;action;
vesnice;village;
člen;member;
budoucnost;future;
kopec;hill;
zvláště;especially;
zahrada;garden;
sladký;sweet;
déšť;rain;
charakter;character;
cestovat;to travel;
Záchvat;attack;
zavřít;to shut;
kouř;smoke;
bezpečný;safe;
prostor;space;
plocha;area;
níže;below;
situace;situation;
považovat;to regard;
odmítnout;to refuse;
třicet;thirty;
suchý;dry;
skočit;to jump;
opakovat;to repeat;
divoký;wild;
zamknout;to lock;
Anglie;England;
umění;art;
vpřed;ahead;
Třetí;third;
rychlý;quick;
košile;shirt;
vyhrát;to win;
nos;nose;
letní;summer;
hrdlo;throat;
snaha;effort;
jednoduchý;simple;
období;term;
učit;to teach;
závod;race;
zpomalit;slow;
povinnost;duty;
hudba;music;
indický;Indian;
událost;event;
květ;flower;
známkovat;to mark;
pták;bird;
sbírat;to gather;
pan;Mr;
soud;court;
Setkání;meeting;
křičet;to scream;
čepice;hat;
neuspět;to fail;
lézt;to climb;
vražda;murder;
, aby se vešly;to fit;
ani;neither;
tenký;thin;
výsledek;result;
spěchat;to hurry;
kompletní;complete;
zub;tooth;
svázat;to tie;
účel;purpose;
stránka;page;
tím pádem;thus;
oblek;suit;
nepřítel;enemy;
století;century;
bojovat;to struggle;
obvyklý;usual;
objekt;object;
probudit;to wake;
bohatý;rich;
nárokovat si;to claim;
veletrh;fair;
společný;common;
síla;strength;
tlustý;thick;
věci;stuff;
respekt;respect;
na adresu;to address;
živobytí;living;
sedm;seven;
poznat;to recognize;
měl;to ought;
podporovat;to support;
sebrat;to grab;
hnědý;brown;
příkaz;command;
přítomnost;presence;
popsat;to describe;
kabát;coat;
stanice;station;
nezbytné;necessary;
potopit se;to sink;
banka;bank;
roztáhnout;to stretch;
perfektní;perfect;
trpět;to suffer;
náhlý;sudden;
zmizet;to disappear;
osm;eight;
cesta;path;
konkrétní;particular;
rozšířit;to spread;
tma;darkness;
schodiště;stair;
poděkovat;to thank;
hnutí;movement;
obtížný;difficult;
prodejna;shop;
bledý;pale;
patřit;to belong;
Jazyk;language;
speciální;special;
vážné;serious;
připomínat;to remind;
poskytnout;to provide;
úzký;narrow;
stav;condition;
ohýbat;to bend;
hvězda;star;
láhev;bottle;
naživu;alive;
klíč;key;
houpat se;to swing;
hlasitý;loud;
tiše;quietly;
chyba;mistake;
pozorovat;to observe;
poznámku;to remark;
krása;beauty;
opatrně;carefully;
brána;gate;
zaklepat;to knock;
klouzat;to slide;
vědomé;aware;
odebrat;to remove;
zcela;completely;
odvážit se;to dare;
služebník;servant;
uklonit se;to bow;
kruh;circle;
záznam;record;
čaj;tea;
rozzlobený;angry;
osobní;personal;
mrak;cloud;
pravidlo;rule;
bitva;battle;
prkno;board;
soukromé;private;
rána;wound;
přírodní;natural;
někde;somewhere;
dále;forth;
chuť;taste;
opravit;to fix;
snadno;easily;
tak jako tak;anyway;
stvoření;creature;
délka;length;
obchod;store;
čerstvý;fresh;
víno;wine;
byt;apartment;
příležitost;occasion;
obraz;image;
Systém;system;
soudce;judge;
jazyk;tongue;
libra;pound;
pohár;cup;
vytvořit;to create;
tvar;shape;
hodnota;worth;
píseň;song;
k výrobě;to produce;
dnes večer;tonight;
nemocný;ill;
sníh;snow;
úroveň;level;
blázen;fool;
proto;therefore;
počítat;to count;
nemocný;sick;
sociální;social;
zítra;tomorrow;
názor;opinion;
pokrčit rameny;to shrug;
zapojit;to involve;
dolar;dollar;
obrovský;huge;
nalít;to pour;
chladný;cool;
prsa;breast;
na pneumatiku;to tire;
mírně;slightly;
tábor;camp;
příklad;example;
výlet;trip;
pár;pair;
příběh;tale;
blikat;to flash;
pravděpodobně;likely;
obvykle;usually;
nemožné;impossible;
hrozný;terrible;
společnost;society;
ukrást;to steal;
mír;peace;
zpráva;message;
ložnice;bedroom;
aféra;affair;
vyskytnout;to occur;
vyžadovat;to require;
boty;shoe;
zamýšlet;to intend;
teplo;heat;
barva;color;
armáda;army;
cizinec;stranger;
zaneprázdněný;busy;
šedá;gray;
Němec;German;
obsahovat;to contain;
žlutá;yellow;
karta;card;
ostrý;sharp;
k léčbě;to treat;
uklidnit;calm;
míč;ball;
dno;bottom;
nebezpečí;danger;
celý;entire;
určit;to determine;
pouze;merely;
Ryba;fish;
hlavní;main;
malovat;to paint;
k obsazení;to cast;
autor;author;
hluk;noise;
hněv;anger;
rozdíl;difference;
host;guest;
podezírat;to suspect;
šokovat;shock;
výstřel;shot;
hlavní;chief;
zářit;to shine;
umýt;to wash;
dýchat;to breathe;
vláda;government;
vyhnout se;to avoid;
etapa;stage;
padesáti;fifty;
otvor;hole;
spisovatel;writer;
prasknout;to burst;
výběr;choice;
stříbrný;silver;
zvolat;to exclaim;
typ;type;
drobný;tiny;
tráva;grass;
řídit;to direct;
vzhled;appearance;
Amerika;America;
Báječné;wonderful;
sbalit;to pack;
nemocnice;hospital;
její;hers;
jemně;gently;
měkce;softly;
dráha;track;
důkaz;evidence;
zlo;evil;
odhalit;to reveal;
existovat;to exist;
vláčet;to drag;
se modlit;to pray;
znalost;knowledge;
vyjádřit;to express;
stranou;aside;
zimní;winter;
znám;familiar;
Bůh;god;
doba;period;
blok;block;
jasně;clearly;
mumlat;to murmur;
pošta;post;
proud;stream;
zamést;to sweep;
okolnost;circumstance;
trvat na tom;to insist;
čtvrťák;quarter;
mozek;brain;
prostý;plain;
ploché;flat;
problém;issue;
báze;base;
rozkoš;delight;
ostrov;island;
Paříž;Paris;
příležitost;opportunity;
rostlina;plant;
radost;joy;
posunout;to shift;
vztah;relationship;
nůž;knife;
kartáčovat;to brush;
mírný;slight;
sakra;damn;
třást se;to tremble;
probrat;to discuss;
rozličný;various;
hodnota;value;
místní;local;
mládí;youth;
praxe;practice;
mokré;wet;
snídaně;breakfast;
kapitán;captain;
zničit;to destroy;
cesta;journey;
Neděle;Sunday;
Nějak;somehow;
mračit se;to frown;
zabalit;to wrap;
kočka;cat;
vázaný;bound;
utěšit;comfort;
gesto;gesture;
kněz;priest;
Francie;France;
zvládnout;to handle;
nebe;heaven;
svědectví;witness;
zvýšit;to increase;
Vlastnosti;feature;
kopnout;to kick;
předpokládat;to assume;
spící;asleep;
k odvolání;to recall;
zápas;match;
těsný;tight;
les;forest;
chránit;to protect;
nedostatek;lack;
společník;companion;
zcela;entirely;
rozhodnutí;decision;
zahrnout;to include;
stezka;trail;
pozvat;to invite;
emoce;emotion;
kost;bone;
hodin;o’clock;
obklopit;to surround;
finále;final;
povrch;surface;
tucet;dozen;
prohlásit;to declare;
zbraň;weapon;
centrum;center;
Vítejte;welcome;
zločin;crime;
hmotnost;weight;
milenec;lover;
meč;sword;
seznam;list;
datum;date;
účastnit se;to attend;
mluvený projev;speech;
křesťan;Christian;
zajistit;to assure;
na okamžik;to snap;
pohyb;motion;
vášeň;passion;
k postupu;to advance;
saké;sake;
vliv;influence;
pokud;unless;
Rychlost;speed;
lidové;folk;
bouřka;storm;
měsíc;moon;
nakrmit;to feed;
politický;political;
prosit;to beg;
souhlasit;to accord;
stroj;machine;
čtyřicet;forty;
devět;nine;
uvolnit;to release;
severní;north;
strýc;uncle;
starověké;ancient;
smutný;sad;
britský;British;
chabý;faint;
dvojnásobek;double;
hrob;grave;
oběd;lunch;
okamžitý;instant;
deska;plate;
pohřbít;to bury;
dokonale;perfectly;
půvabný;lovely;
vaše;yours;
led;ice;
oddělit;to separate;
kousnout;to bite;
střecha;roof;
přísahat;to swear;
palec;inch;
Řidič;driver;
zrcadlo;mirror;
žaludek;stomach;
bytost;being;
získat;to gain;
ignorovat;to ignore;
dobře;okay;
odpovědět;to respond;
nikdo;nobody;
naproti;opposite;
obtěžovat;to bother;
uspořádat;to arrange;
bota;boot;
prach;dust;
třít;to rub;
přímo;directly;
záře;glow;
křičet;to yell;
individuální;individual;
zdravotní sestřička;nurse;
paní;Mrs;
vidění;vision;
plýtvat;to waste;
hrdý;proud;
šílený;mad;
orgánu;authority;
Kontakt;contact;
noviny;newspaper;
Vánoce;Christmas;
riziko;risk;
zejména;particularly;
stupeň;degree;
bývalý;former;
poněkud;somewhat;
styl;style;
někdo;somebody;
vlastnit;to possess;
kamionu;truck;
zajímavý;interesting;
žert;joke;
mumlat;to mutter;
vlastnictví;property;
holý;bare;
tělo;flesh;
úleva;relief;
váhat;to hesitate;
uklidnit se;to ease;
rukojeť;grip;
skočit;to leap;
zásobování;supply;
přerušit;to interrupt;
jídlo;meal;
bratranec;cousin;
proces;process;
ženský;female;
ztráta;loss;
cigareta;cigarette;
žehlička;iron;
přesvědčit;to convince;
odděleně;apart;
ozdobný;fancy;
řádek;row;
tempo;pace;
dvakrát;twice;
plynout;to flow;
trpěliví;patient;
předstírat;to pretend;
velikost;size;
sotva;barely;
svatba;wedding;
oznámit;to announce;
smích;laughter;
list;sheet;
vařit;to cook;
tvůj;thy;
kolo;wheel;
úspěch;success;
nebezpečný;dangerous;
jižní;south;
vzhůru;awake;
volný;loose;
čelo;forehead;
široký;broad;
poušť;desert;
míchat;to stir;
mrtvice;stroke;
křídlo;wing;
varovat;to warn;
složit;to fold;
hromada;pile;
plamen;flame;
vchod;entrance;
pán;lord;
plout;to sail;
zavést;to introduce;
hladký;smooth;
silný;powerful;
náklady;cost;
milión;million;
víra;faith;
polykat;to swallow;
most;bridge;
opatření;measure;
slepý;blind;
všichni;everybody;
štěstí;fortune;
způsoben;due;
jemný;gentle;
zkoumat;to examine;
šílený;crazy;
zábava;fun;
hrdost;pride;
mužský;male;
zapojit;to engage;
rám;frame;
realita;reality;
vlastní;proper;
odrážet;to reflect;
bloudit;to wander;
reprezentovat;to represent;
hospodařit;farm;
tým;team;
počasí;weather;
uspokojit;to satisfy;
obtížnost;difficulty;
slabý;weak;
význam;meaning;
let;flight;
příjemný;pleasant;
paluba;deck;
opatrný;careful;
náměstí;square;
výmluva;excuse;
firma;firm;
větev;branch;
otřete;to wipe;
cena;price;
originál;original;
dvanáct;twelve;
právník;lawyer;
stopa;trace;
modlitba;prayer;
někdo;anybody;
čest;honor;
zvonek;bell;
dar;gift;
Kristus;Christ;
energie;energy;
možná;possibly;
zvyk;habit;
ochotný;willing;
kvalitní;quality;
hodit;to toss;
chyba;fault;
snížit;to lower;
jistě;surely;
zřejmě;apparently;
hádat se;to argue;
začátek;beginning;
hezký;handsome;
hluboce;deeply;
na vině;to blame;
protestovat;to protest;
vězeň;prisoner;
indikovat;to indicate;
tě;thee;
točit;to twist;
Bunda;jacket;
hrdina;hero;
štěstí;luck;
obsah;content;
informovat;to inform;
aby se zabránilo;to prevent;
štěstí;happiness;
skutečně;truly;
Vyvinout;to develop;
brada;chin;
zničit;to ruin;
prasknout;to crack;
vůdce;leader;
včera;yesterday;
patnáct;fifteen;
dřevěný;wooden;
dodat;to deliver;
činidlo;agent;
materiál;material;
Odezva;response;
průchod;passage;
hloupý;stupid;
móda;fashion;
úkol;task;
zvědavý;curious;
uspět;to succeed;
moudrý;wise;
množství;amount;
telefon;telephone;
popřít;to deny;
kopat;to dig;
zákon;law;
nutit;to urge;
navždy;forever;
společenství;community;
fyzický;physical;
zdroj;source;
dlaň;palm;
učitel;teacher;
otrok;slave;
Tlustý;fat;
preferovat;to prefer;
vojenský;military;
chléb;bread;
odkazovat;to refer;
chata;cabin;
plně;fully;
není schopen;unable;
doprovázet;to accompany;
pokračovat;to proceed;
vyměnit;to exchange;
Hmotnost;mass;
žádost;request;
stanovit;to establish;
zvláštní;odd;
pobřeží;shore;
provázet;to guide;
zlatý;golden;
sebe;ourselves;
pouhý;mere;
vztah;relation;
ohrožovat;to threaten;
hodnotit;rate;
proklínat;to curse;
pivo;beer;
vzdálený;distant;
zřejmé;obvious;
komentář;comment;
ušlechtilý;noble;
výhoda;advantage;
zášť;spite;
soubor;file;
možnost;possibility;
provádět;to conduct;
vyblednout;to fade;
moderní;modern;
zaměřit;to focus;
obrazovka;screen;
k montáži;to mount;
písek;sand;
oběť;victim;
vztek;rage;
čelit;counter;
druhé;latter;
vyděsit;to scare;
nehoda;accident;
dojem;impression;
nahlédnout;to peer;
zvlnit;to curl;
sbírat;to collect;
pochodovat;to march;
zobrazit;to display;
pláž;beach;
teta;aunt;
vchod;doorway;
komfortní;comfortable;
driftovat;to drift;
Škoda;pity;
vzrušení;excitement;
zatknout;to arrest;
očividně;obviously;
v opačném případě;otherwise;
obchod;trade;
klub;club;
buňka;cell;
zdraví;health;
Západ;west;
kůže;leather;
hrubý;rough;
zajíknout se;to gasp;
vystupovat;to perform;
růžový;pink;
kapela;band;
věta;sentence;
nálada;mood;
článek;article;
řetěz;chain;
vozík;carriage;
vyslovit;to utter;
odstín;shade;
letadlo;plane;
vysoká škola;college;
odpustit;to forgive;
báseň;poem;
lano;rope;
svítilna;lamp;
čistý;pure;
naložit;to load;
chytit;to seize;
zadní;rear;
upřímný;honest;
hlavní, důležitý;major;
podobný;similar;
aktivita;activity;
echo;to echo;
zabírat;to occupy;
slavný;famous;
přežít;to survive;
úzkost;anxious;
legrační;funny;
ďábel;devil;
důvěra;confidence;
litovat;to regret;
spáchat;to commit;
potit se;sweat;
ruština;Russian;
rozsah;range;
poplach;alarm;
obnovit;to recover;
hrůza;horror;
bezpečnostní;security;
posádka;crew;
řvát;to roar;
svítání;dawn;
národ;nation;
kov;metal;
nervový;nervous;
vězení;prison;
opustit;to abandon;
kdekoli;anywhere;
polský;poet;
hřích;sin;
do trávy;to grasp;
postoje;attitude;
zabezpečení;to secure;
prohlášení;statement;
nahý;naked;
účet;bill;
obočí;brow;
morální;moral;
roli;role;
spousta;plenty;
kariéru;career;
ocas;tail;
narození;birth;
použít;to apply;
úředník;official;
vztahovat;to relate;
osud;fate;
projektu;project;
údolí;valley;
představivost;imagination;
vystrašit;to frighten;
trhu;market;
pěst;fist;
dlužit;to owe;
záměr;intention;
spojení;connection;
série;series;
odvahu;courage;
věž;tower;
jezero;lake;
vzniknout;to emerge;
vsadit;to bet;
film;movie;
sukně;skirt;
plakat;to weep;
komory;chamber;
procesu;trial;
magie;magic;
motoru;engine;
díky;thanks;
psaní;writing;
tlačítko;button;
lovit;to hunt;
obyčejné;ordinary;
rozšířit;to extend;
ušetřit;to spare;
teorie;theory;
normální;normal;
stabilní;steady;
udělit;to grant;
Června;June;
Žid;Jew;
absolutně;absolutely;
čest;honour;
plavat;to float;
tajemství;mystery;
sezóny;season;
vlastníkem;owner;
dovolit;to afford;
barvy;colour;
poradenství;advice;
obdivovat;to admire;
čepice;cap;
svobodu;freedom;
na pohled;to glare;
si zaslouží;to deserve;
pozdravit;to greet;
obejmout;to hug;
zaměstnanců;staff;
tahu;to thrust;
poté;afterwards;
správné;correct;
záviset;to depend;
plavat;to swim;
pól;pool;
signál;signal;
nevinný;innocent;
celé;heel;
obecně;generally;
opona;curtain;
držení;possession;
fotografie;photograph;
sotva;scarcely;
rádia;radio;
nativní;native;
šedá;grey;
deku;blanket;
rozhovor;interview;
povolení;to permit;
špinavý;dirty;
hanba;shame;
přestat;to cease;
vejce;egg;
vysvětlení;explanation;
vozu;wagon;
publikum;audience;
hrozné;awful;
potrubí;pipe;
kmene;to strain;
umělec;artist;
stlačit;to squeeze;
k odvolání;to appeal;
hadřík;cloth;
hrůza;terror;
objem;volume;
východ;east;
sekce;section;
rušit;to disturb;
hodnosti;rank;
přátelský;friendly;
hladový;hungry;
k creepu;to creep;
návštěvník;visitor;
všude;everywhere;
náboženské;religious;
získat;to obtain;
maso;meat;
služka;maid;
spravedlnosti;justice;
pokroku;progress;
hadr;lap;
nahoru;upstairs;
přesvědčení;belief;
připojení;to connect;
román;novel;
duch;ghost;
cíl;to aim;
k útěku;to fling;
Sobota;Saturday;
provozu;operation;
Uvolnit;to relieve;
už ne;anymore;
navzdory;despite;
pasu;waist;
mléko;milk;
přijmout;to embrace;
koupelna;bathroom;
hrnec;pot;
setkání;to encounter;
nemovitostí;estate;
předchozí;previous;
točit;to spin;
beletrie;fiction;
velký;grand;
schody;trap;
ovlivnit;to affect;
trik;trick;
lék;drug;
hedvábí;silk;
večeře;supper;
opilý;drunk;
nápověda;hint;
nahradit;to replace;
poškození;harm;
ovoce;fruit;
počítače;computer;
loket;elbow;
sestupovat;to descend;
